,name,price_selloff,memory,hard_drive,price,ratings,status,brand,store
59,Samsung Galaxy A32 A325 128GB Ram 6GB,5799000,128GB,6GB,6690000,8,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
60,Xiaomi POCO M4 Pro 5G 6GB RAM 128GB,5709000,6GB,0,5990000,15,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
61,Samsung Galaxy A32 A325 128GB Ram 6GB (New - BH12T),5549000,128GB,6GB,6690000,5,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
62,OPPO A76 4G 128GB Ram 6GB,5469000,128GB,6GB,5990000,0,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
63,Xiaomi Redmi Note 10S,5279000,0,0,6490000,2,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
64,Samsung Galaxy A23 A235 128GB Ram 4GB,4749000,128GB,4GB,5690000,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
65,Xiaomi Redmi Note 11 128GB RAM 4GB,4339000,128GB,0,4990000,2,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
66,OPPO A55 4G 64GB Ram 4GB,4189000,64GB,4GB,4990000,6,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
67,Xiaomi Redmi Note 11 64GB RAM 4GB,4039000,64GB,0,4690000,3,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
68,Samsung Galaxy A13 A135 128GB Ram 4GB,3999000,128GB,4GB,4690000,3,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
69,Xiaomi Redmi 10 128GB RAM 4GB (2022),3899000,128GB,0,0,0,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
70,Samsung Galaxy A12 A127 128GB Ram 4GB,3749000,128GB,4GB,4290000,5,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
71,Nokia G21 128GB Ram 4GB,3649000,128GB,4GB,4290000,2,"Kích hoạt điện tử, New 100%",Nokia,Ha Nam Mobile
72,OPPO A16 32GB RAM 3GB,3599000,32GB,0,3990000,0,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
73,Tecno Pova 2 64GB Ram 4GB,3449000,64GB,4GB,3990000,1,"Kích hoạt điện tử, New 100%",Tecno,Ha Nam Mobile
74,Xiaomi Redmi 10C 128GB Ram 4GB,3339000,128GB,4GB,3990000,0,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
75,OPPO A16K 32GB RAM 3GB,3069000,32GB,0,3690000,2,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
76,Xiaomi Redmi 9C 128GB Ram 4GB,2989000,128GB,4GB,3490000,1,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
77,OPPO A16K 32GB RAM 3GB (Đã kích hoạt),2829000,32GB,0,0,2,"Kích hoạt điện tử, New 100%",OPPO,Ha Nam Mobile
78,Tecno Pova Spark 8C 64GB Ram 4GB,2799000,64GB,4GB,2990000,0,"Kích hoạt điện tử, New 100%",Tecno,Ha Nam Mobile
79,Tecno Spark 7T 64GB Ram 4GB,2759000,64GB,4GB,3390000,1,"Kích hoạt điện tử, New 100%",Tecno,Ha Nam Mobile
80,Nokia C30 32GB RAM 3GB,2679000,32GB,0,3450000,0,"Kích hoạt điện tử, New 100%",Nokia,Ha Nam Mobile
81,Samsung Galaxy A03 A035 32GB Ram 3GB,2599000,32GB,3GB,2990000,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
82,Samsung Galaxy A03 A035 32GB Ram 3GB (New - BH12T),2549000,32GB,3GB,2990000,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
83,Nokia C21 Plus 64GB RAM 2GB,2479000,64GB,0,2890000,0,"Kích hoạt điện tử, New 100%",Nokia,Ha Nam Mobile
84,Xiaomi Redmi 9A 32GB Ram 2GB,2089000,32GB,2GB,2490000,3,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
85,Nokia C20 32GB Ram 2GB,1979000,32GB,2GB,2490000,0,"Kích hoạt điện tử, New 100%",Nokia,Ha Nam Mobile
86,Nokia 110 Dual (2021),789000,0,0,850000,1,"Kích hoạt điện tử, New 100%",Nokia,Ha Nam Mobile
87,Nokia 105 Dual (2021),699000,0,0,750000,0,"Kích hoạt điện tử, New 100%",Nokia,Ha Nam Mobile
88,Xiaomi 12 Pro 5G 256GB Ram 12 GB,27990000,256GB,12,0,0,"Kích hoạt điện tử, New 100%",Xiaomi,Ha Nam Mobile
89,Samsung Galaxy Z Flip3 5G F711 128GB Flex Your Way Limited Edition,24990000,128GB,0,0,8,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
90,Apple iPhone 13 VN/A,23499000,0,0,0,0,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
91,Itel it9210 4G,679000,0,0,0,0,"Kích hoạt điện tử, New 100%",Itel,Ha Nam Mobile
92,Apple iPhone 13 Pro Max 1T VN/A,41999000,1T,0,49990000,2,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
93,Apple iPhone 13 Pro 1T VN/A,39499000,1T,0,0,5,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
94,Samsung Galaxy S22 Ultra 5G S908 256GB Ram 12GB,26390000,256GB,12GB,33990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
95,Samsung Galaxy Z Fold3 5G F926 256GB Ram 12GB,30499000,256GB,12GB,41990000,3,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
96,Apple iPhone 13 Pro 256GB VN/A,29499000,256GB,0,34990000,5,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
97,Apple iPhone 12 Pro Max 1 sim 256GB,28999000,256GB,0,37990000,8,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
98,Apple iPhone 13 mini 512GB VN/A,28499000,512GB,0,0,2,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
99,Samsung Galaxy S22 Ultra 5G S908 256GB Ram 12GB (New - BH12T),25899000,256GB,12GB,0,1,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
100,Apple iPhone 13 1 sim 512GB,23299000,512GB,0,33990000,3,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
101,Apple iPhone 13 2 sim 128GB,22999000,128GB,0,0,3,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
102,Samsung Galaxy Z Fold2 5G F916 256GB Ram 12GB (New - BH12T),22499000,256GB,12GB,50000000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
103,Apple iPhone 13 mini 256GB VN/A,21999000,256GB,0,0,3,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
104,Apple iPhone 11 Pro Max 1 Sim 64GB,21999000,64GB,0,0,0,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
105,Samsung Galaxy S22 Plus 5G S906 256GB Ram 8GB (New - BH12T),21290000,256GB,8GB,27490000,1,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
106,Samsung Galaxy Note 20 Ultra 5G N986 (New - BH12T),20099000,BH12T),0,32990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
107,Apple iPhone 13 mini 128GB VN/A,18999000,128GB,0,0,3,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
108,Samsung Galaxy Note 20 Ultra 5G N986 512GB,18999000,512GB,0,0,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
109,Samsung Galaxy Note 20 Ultra N985 (New - BH12T),18399000,BH12T),0,29990000,3,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
110,Apple iphone SE 3 2022 256GB VN/A,16990000,256GB,0,0,0,"Kích hoạt điện tử, New 100%",iphone,Ha Nam Mobile
111,HTC U11 Plus,16990000,HTC,0,18990000,0,"Kích hoạt điện tử, New 100%",HTC,Ha Nam Mobile
112,BlackBerry KEY2,15990000,0,0,0,0,"Kích hoạt điện tử, New 100%",BlackBerry,Ha Nam Mobile
113,Samsung Galaxy S21 FE 5G G990 128GB Ram 8GB,13799000,128GB,8GB,16990000,0,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
114,Samsung Galaxy Note 20 N980 (New - BH12T),13099000,BH12T),0,20990000,2,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
115,OPPO Reno7 5G,12990000,0,0,0,0,Tạm hết hàng,OPPO,Ha Nam Mobile
116,Samsung Galaxy S21 FE 5G G990 128GB Ram 6GB (New - BH12T),11899000,128GB,6GB,15990000,1,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
117,Apple iPhone SE 2020 64GB,9999000,64GB,0,0,1,Tạm hết hàng,iphone,Ha Nam Mobile
118,Mi 11T 5G 128GB RAM 8GB,9499000,11T,0,10990000,5,Tạm hết hàng,Mi,Ha Nam Mobile
119,Samsung Galaxy A72 A725 (New - BH12T),9449000,BH12T),0,11490000,0,Tạm hết hàng,Samsung,Ha Nam Mobile
120,Samsung Galaxy A72 A725,9399000,0,0,11490000,6,Tạm hết hàng,Samsung,Ha Nam Mobile
121,Samsung Galaxy A53 A536 5G 128GB Ram 8GB (New - BH12T),8299000,128GB,8GB,9990000,0,Tạm hết hàng,Samsung,Ha Nam Mobile
122,Samsung Galaxy A52 A525 (New-BH12T),7349000,(New-BH12T),0,9290000,6,"Kích hoạt điện tử, New 100%",Samsung,Ha Nam Mobile
